Source,Target
food,food
waste,waste
eat,eat
40,40%
life,life
hotdog,hotdog
produced,produce
consumption,consumption
accept,accept
reject,reject
excessive,excessive
nationalhotdogday,nationalhotdogday
away,away
ask,ask
travel,travel
plate,plate
world,world
annually,annual
race,race
human,human
competition,competition
change,change
thrown,thrown
1.3billion,1.3billion
whole,whole
win,win
tons,ton
cool,cold
wasted,waste
wish,wish
dog,hotdog
juice,juice
hot,hotdog
generated,generate
landfill,landfill
food-energy-water,
earth,earth
perfect,perfect
nexus,nexus
postharvest,postharvest
acres,acre
bread,bread
worlds,world
bad,bad
toasters,toster
generation,generation
impact,impact
leftovers,leftovers
attention,attention
water,water
wasting,waste
supply,supply
aware,aware
abundance,abundance
planet,planet
fruit,fruit
consumed,consume
foodwaste,foodwaste